name,url,category,lineGroup,backupUrl,note
หน้าเข้าเล่นหลัก,https://app.urus99.com/login,ทางเข้า,@ur9support,,ลิงก์หลักที่ลูกค้าใช้บ่อย
สมัคร,https://app.urus99.com/register/aff1688640,ริชเมนู,@ur9support,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ดูหนัง,https://123-hdmovie.com/,ริชเมนู,@ur9support,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ไลน์หลัก,http://line.me/ti/p/@ur9sv1,ริชเมนู,@ur9support,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ไปเทเรแกรม,https://t.me/officialURUS99,ริชเมนู,@ur9support,,ลิงก์หลักที่ลูกค้าใช้บ่อย
หน้าเข้าเล่นหลัก,https://app.urus99.com/login,ทางเข้า,@ur9sv1,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ทางเข้าเล่น,https://app.urus99.com/register/aff1688640,ริชเมนู,@ur9sv1,,ลิงก์หลักที่ลูกค้าใช้บ่อย
การเงิน,https://lin.ee/Fqwj823,ริชเมนู,@ur9sv1,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ช่องทางติดต่อสำรอง,https://sites.google.com/view/urus99?usp=sharing,ริชเมนู,@ur9sv1,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ลิงค์รับทรัพย์,https://vimeo.com/983698819,ริชเมนู,@ur9sv1,,ลิงก์หลักที่ลูกค้าใช้บ่อย
หน้าเข้าเล่นหลัก,https://app.urus99.com/login,ทางเข้า,@ur9cash,,ลิงก์หลักที่ลูกค้าใช้บ่อย
สมัคร,https://app.urus99.com/register/aff1688640,ริชเมนู,@ur9cash,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ไป SV,http://line.me/ti/p/@ur9sv1,ริชเมนู,@ur9cash,,ลิงก์หลักที่ลูกค้าใช้บ่อย
หน้าเข้าเล่นหลัก,https://app.urus99.com/login,ทางเข้า,@evos168free,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ไลน์หลัก,http://line.me/ti/p/@ur9sv1,ริชเมนู,@evos168free,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ทางเข้าเล่น evos,https://app.evos168.com/,ริชเมนู,@evos168free,,ลิงก์หลักที่ลูกค้าใช้บ่อย
หน้าเข้าเล่นหลัก,https://app.urus99.com/login,ทางเข้า,@ur9free,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ไลน์หลัก,http://line.me/ti/p/@ur9sv1,ริชเมนู,@ur9free,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ทางเข้าเล่น urus9,https://app.urus99.com/register/aff16886400,ริชเมนู,@ur9free,,ลิงก์หลักที่ลูกค้าใช้บ่อย
หน้าเข้าเล่นหลัก,https://app.urus99.com/login,ทางเข้า,@urus99,,ลิงก์หลักที่ลูกค้าใช้บ่อย
สมัครสมาชิก,https://app.urus99.com/register/aff1688640,ริชเมนู,@urus99,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ติดต่อเทเรแกรม,https://t.me/URUS99_Official,ริชเมนู,@urus99,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ไลน์รับ,http://line.me/ti/p/@ur9support,ริชเมนู,@urus99,,ลิงก์หลักที่ลูกค้าใช้บ่อย
หน้าเข้าเล่นหลัก,https://app.urus99.com/login,ทางเข้า,@urus99sv1,,ลิงก์หลักที่ลูกค้าใช้บ่อย
สมัครสมาชิก,https://app.urus99.com/register/aff1688640,ริชเมนู,@urus99sv1,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ทางเข้าเล่น urus9,https://app.urus99.com/loginn,ริชเมนู,@urus99sv1,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ติดต่อเทเรแกรม,https://t.me/URUS99_Official,ริชเมนู,@urus99sv1,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ไลน์หลัก,https://lin.ee/U44PTPK,ริชเมนู,@urus99sv1,,ลิงก์หลักที่ลูกค้าใช้บ่อย
หน้าเข้าเล่นหลัก,https://app.urus99.com/login,ทางเข้า,@urus99sv2,,ลิงก์หลักที่ลูกค้าใช้บ่อย
สมัครสมาชิก,https://app.urus99.com/register/aff1688640,ริชเมนู,@urus99sv2,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ทางเข้าเล่น urus9,https://app.urus99.com/,ริชเมนู,@urus99sv2,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ติดต่อเทเรแกรม,https://t.me/URUS99_Official,ริชเมนู,@urus99sv2,,ลิงก์หลักที่ลูกค้าใช้บ่อย
ไลน์หลัก,https://lin.ee/U44PTPK,ริชเมนู,@urus99sv2,,ลิงก์หลักที่ลูกค้าใช้บ่อย
หน้าเข้าเล่นหลัก,https://app.urus99.com/login,ทางเข้า,@urus99cash,,ลิงก์หลักที่ลูกค้าใช้บ่อย
